Load (lbf),Resistance (Ohms)
10.63,1727.98768
10.63,1651.53541
10.64,1755.39421
10.64,1765.82681
10.65,1636.83818
10.66,1688.27707
10.66,1625.02377
10.67,1670.85706
10.67,1643.92122
10.68,1593.91719
10.69,1631.14083
10.69,1505.26411
10.7,1560.75678
10.71,1537.46238
10.71,1672.07443
10.71,1637.39758
10.71,1806.16564
10.72,1700.51281
10.72,1643.54971
10.73,1650.40848
10.73,1617.79267
10.74,1621.15942
10.74,1672.11928
10.74,1738.60078
10.75,1764.59835
10.75,1722.26213
10.75,1670.62118
10.76,1536.77083
10.77,1548.28069
10.78,1601.298
10.78,1648.30364
10.79,1626.00603
10.79,1743.39145
10.8,1674.08814
10.81,1591.08768
10.81,1615.25577
10.82,1594.54508
10.83,1815.14282
10.83,1649.86233
10.84,1650.03883
10.84,1640.25301
10.86,1640.36504
10.86,1616.27694
10.87,1663.19286
10.87,1537.2753
10.88,1641.08629
10.88,1672.34943
10.88,1572.90694
10.89,1701.77741
10.89,1552.32252
10.89,1653.51029
10.9,1516.81662
10.92,1649.08535
10.92,1554.4395
10.93,1721.83797
10.93,1658.29932
10.94,1648.85458
10.95,1535.38002
10.95,1609.49968
10.96,1595.71543
10.97,1484.94541
10.98,1611.07637
10.99,1629.5991
10.99,1539.76583
11,1610.65832
