Load (lbf),Resistance (Ohms)
10.177,1870.53008
10.181,1782.86794
10.187,1853.99001
10.19,1943.77079
10.193,1896.30746
10.196,1916.19971
10.203,1698.99346
10.21,1755.80776
10.212,1897.35617
10.216,1855.40739
10.22,1842.57502
10.225,1741.94816
10.229,1936.3541
10.237,1891.30244
10.241,2073.77145
10.248,1786.97989
10.257,1825.11608
10.265,1810.92685
10.274,1932.49784
10.28,1910.67294
10.289,1782.0418
10.294,1834.44025
10.301,1692.37991
10.309,1830.58524
10.315,1870.57859
10.325,1866.78723
10.329,1870.19799
10.333,1770.6457
10.341,1892.02353
10.345,1852.16588
10.349,1630.07385
10.354,1811.98089
10.358,1907.49999
10.361,1837.51301
10.369,1734.03326
10.374,1844.81193
10.381,1729.25047
10.389,1738.37981
10.393,1849.93057
10.4,1792.04885
10.408,1798.19063
10.412,1876.73602
10.421,1857.51652
10.426,1795.16567
10.43,1841.79996
10.436,1818.9642
10.44,1800.52492
10.443,1935.36258
10.447,1819.35761
10.452,1737.69681
10.457,1672.05799
10.462,1847.2288
10.469,1870.47914
10.474,1757.89239
10.481,1885.92199
10.489,1805.73909
10.495,1856.35769
10.505,1897.65567
10.51,1796.289
10.515,1715.07116
10.522,1774.84228
10.527,1783.51378
10.532,1866.39901
10.537,1796.14119
10.541,1841.02218
10.555,1663.4472
10.564,1836.38023
10.572,1765.05857
10.578,1712.4775
10.585,1652.08053
10.589,1786.17984
10.592,1781.81665
10.597,1751.74375
10.602,1743.39428
10.605,1818.8798
10.609,1799.04792
10.614,1883.1531
10.619,1818.94282
10.621,1722.60072
10.626,2014.07889
10.631,1729.22791
10.635,1891.25768
10.638,1807.06903
10.642,1931.99737
10.649,1714.76861
10.653,1751.44527
10.658,1807.13728
10.666,1768.31735
10.673,1637.24533
10.679,1861.32679
10.686,1727.36296
10.692,1712.24687
10.699,1790.59396
10.704,1799.92319
10.71,1757.52387
10.715,1830.5418
10.72,1705.12893
10.726,1713.24939
10.734,1792.00801
10.74,1813.47708
10.748,1667.89112
10.754,1771.31107
10.759,1915.00246
10.765,1828.44664
10.769,1752.14839
10.773,1737.54773
10.778,1834.85536
10.782,1763.12825
10.784,1718.63091
10.787,1859.11936
10.793,1740.29997
10.798,1743.31338
10.802,1705.75798
10.807,1846.41333
10.816,1840.93951
10.823,1796.5248
10.831,1914.79738
10.836,1759.03448
10.842,1861.90509
10.849,1756.55488
10.853,1728.27593
10.858,1907.72313
10.866,1720.91251
10.87,1844.18895
10.879,1800.54828
10.885,1888.38652
10.89,1843.63878
10.898,1737.7887
10.903,1721.96203
10.908,1638.47625
10.914,1633.41016
10.918,1915.21586
10.922,1718.59186
10.93,1783.48206
10.935,1782.39117
10.941,1849.67494
10.948,1751.14371
10.952,1687.59454
10.958,1676.76132
10.965,1748.57574
10.968,1709.32634
10.972,1805.64189
10.978,1709.46977
10.981,1649.8752
10.984,1777.65598
10.989,1740.34007
10.995,1780.04839
10.998,1810.32544
11.001,1831.21849
